地区,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
北京市,211212,185928,189129,156312,138111,123336,92305,77955,57296,50236,43508,31680,26555,22572,18402,17003,13842,12174,10344,7723,6321,6313,6595,6362,6852,6972,6316,4624,4284,3344,3342,2425,,,,,,,,
天津市,99038,86996,106514,79963,63422,60915,41009,38489,25973,19624,18230,15744,13299,11657,8406,6812,5360,3081,2789,2016,1485,1540,1743,1648,1541,1850,1767,1362,975,883,1069,701,,,,,,,,
河北省,83785,61288,54838,44060,30000,27619,23241,17595,12295,11361,9128,7853,7220,6401,5647,5623,5390,4695,3848,3330,3295,3292,2944,2707,2642,2803,2499,2010,1477,1058,1001,790,,,,,,,,
山西省,27106,20697,20031,14948,15687,18859,16786,12769,7927,6822,5386,3333,2824,1985,1949,1743,1630,1473,1475,1140,1070,1020,953,917,1031,1050,962,787,640,581,587,342,,,,,,,,
内蒙古自治区,16426,11701,10672,8876,6359,6388,4732,3841,2912,2484,2221,2015,1946,1455,1457,1393,1202,1087,1138,971,785,940,859,647,731,601,510,431,347,231,231,154,,,,,,,,
辽宁省,65686,49871,52603,42153,37860,45996,41152,37102,34216,25803,20893,19518,17052,15672,14695,13545,9851,7514,7151,6065,5643,5142,5218,4449,4608,4793,4694,3423,3153,2307,2527,1836,,,,,,,,
吉林省,27034,20450,18922,14800,11933,10751,9171,8196,6445,5934,5536,5251,4578,4101,3657,4267,3413,2627,2501,2111,1960,1672,1626,1389,1556,1683,1539,1304,1017,884,903,689,,,,,,,,
黑龙江省,34582,30958,35293,34611,31856,32264,30610,23432,10269,9014,7974,7242,6535,6050,4919,4972,4392,3670,3106,2987,2695,2642,2776,2569,2665,2733,2327,1626,1230,1014,1052,844,,,,,,,,
上海市,150233,131740,119937,100006,81664,86450,82682,80215,71196,62241,52835,47205,36042,32741,20471,22374,19970,12777,11337,4605,3419,3120,3154,2456,2323,2294,2186,1778,1526,1142,1523,1546,,,,,,,,
江苏省,600306,514402,512429,428337,421907,504500,472656,348381,235873,174329,128002,88950,53267,34811,23532,18393,13075,10352,8211,7091,5829,5339,4980,4078,4007,4170,4218,3547,2706,1994,1955,1577,,,,,,,,
浙江省,455590,377115,393147,307264,261435,294014,249373,177066,120742,108482,89931,68933,52980,43221,25294,21463,17265,12828,10316,8177,7074,6262,5162,4042,3495,3343,3194,2571,2243,1497,1448,1153,,,,,,,,
安徽省,207428,175872,172552,127709,99160,93353,74888,48556,47128,16386,10409,6070,4679,3516,2943,2676,2312,2045,1877,1721,1484,1404,1243,1026,932,1041,931,688,471,365,439,342,,,,,,,,
福建省,166610,128079,130376,83146,58075,53701,42773,32325,21994,17559,13181,11341,10351,9460,7498,7236,6522,4971,4211,3381,3393,3018,2625,1979,1510,1271,928,672,540,445,420,305,,,,,,,,
江西省,86001,70591,60494,36936,25594,16938,12458,9673,6307,5224,3746,3548,3171,2815,2685,2434,2037,1778,1557,1387,1259,1307,1199,1008,1051,998,954,825,601,414,437,419,,,,,,,,
山东省,231585,204859,212911,193220,158619,155170,128614,109599,80856,66857,60247,46849,38284,28835,18388,15794,12856,11170,10019,8589,7597,6523,6125,4624,5092,4691,4445,3348,2553,1745,1804,1286,,,,,,,,
河南省,154381,119240,94669,74373,62434,55920,43442,34076,25149,19589,19090,14916,11538,8981,6318,5261,4441,4093,3823,3452,3163,2948,2933,2386,2281,2299,1998,1571,1133,953,936,746,,,,,,,,
湖北省,124535,110234,95157,74240,59050,50816,51316,42510,31311,27206,21147,17376,14576,11534,7960,6635,4960,4322,3486,2963,2629,2278,2195,2004,1985,1950,1806,1302,1238,1060,1160,930,,,,,,,,
湖南省,94503,77934,67779,54501,44194,41336,35709,29516,22381,15948,14016,11233,10249,8763,7693,6054,4859,4292,4117,3403,3225,3070,2968,2628,3004,3173,3342,2536,2190,1619,1944,1416,,,,,,,,
广东省,793819,627834,505667,355939,278358,264265,229514,196272,152907,125673,103883,102449,90886,72220,52201,43186,34352,27596,21123,16802,13473,12858,9946,7729,5883,5020,4656,2997,1948,1276,1203,825,,,,,,,,
广西壮族自治区,44224,56988,59239,43696,32298,23251,13610,8106,5117,4277,3884,3480,2784,2379,2202,2250,1927,1838,1762,1604,1317,1374,1379,1231,1274,1202,945,815,650,492,496,436,,,,,,,,
海南省,6451,4564,3658,3127,2416,2359,1824,1489,1019,1040,873,632,538,498,375,445,546,390,502,373,468,383,235,183,192,184,159,81,69,77,18,,,,,,,,,
重庆市,72121,64648,59518,82791,55298,49036,38924,32039,22825,13482,8324,6715,6471,6260,5171,4589,3142,2047,1780,1274,1255,952,,,,,,,,,,,,,,,,,,
四川省,152987,167484,142522,110746,91167,82453,66312,49734,40230,33047,24335,19165,13109,10567,7260,7443,5997,5039,4496,3676,3187,3020,3754,3186,3449,3464,3410,2436,2091,1462,1580,1079,,,,,,,,
贵州省,44508,34610,25315,18295,22467,17405,11296,8351,4414,3709,2943,2759,2674,2226,1486,1242,1260,950,986,789,800,785,774,562,550,500,433,373,267,218,296,242,,,,,,,,
云南省,36515,28695,23709,17603,13343,11512,9260,7150,5645,4633,4089,3108,3085,2556,2132,1966,1780,1793,1710,1246,1136,1109,1290,959,883,729,695,576,461,435,488,424,,,,,,,,
西藏自治区,1469,1097,712,309,248,203,170,263,162,195,350,97,89,102,62,24,15,23,28,10,14,12,10,11,16,10,7,2,5,2,3,1,,,,,,,,
陕西省,76512,98935,69611,74904,56235,57287,43608,32227,22949,15570,11898,8499,5717,4166,3217,3421,2530,2326,2080,1685,1723,1811,1790,1721,2002,2474,2167,1323,993,765,949,704,,,,,,,,
甘肃省,27882,24448,20276,14584,12020,10976,8261,5287,3558,2676,2178,1608,1460,1759,910,961,781,734,798,583,598,553,601,546,537,609,539,391,307,317,254,179,,,,,,,,
青海省,4439,3181,3284,2590,1534,1099,844,732,602,499,431,387,325,216,124,173,151,162,174,172,137,130,92,100,121,129,95,96,111,87,94,80,,,,,,,,
宁夏回族自治区,9860,8575,6149,4394,3532,3230,1985,1079,739,1277,1087,838,671,516,399,441,503,412,341,262,179,177,178,169,164,214,173,145,114,73,80,66,,,,,,,,
新疆维吾尔自治区,14647,14260,14105,12250,10210,8224,7044,4736,3560,2872,2412,2270,2256,1851,1492,1473,1239,1086,1088,876,978,799,713,609,608,642,502,402,250,224,201,126,,,,,,,,
